location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"New Collectorate, Baghpat - UPPCB",pm25,9,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-25 12:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,21,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-24 18:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,23,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-24 15:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,4,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-24 12:45:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,3,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-24 08:30:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,7,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-23 20:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,11,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-23 09:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,27,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-22 15:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,8,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-22 14:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,18,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-19 02:15:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,19,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-19 01:00:00,28.974801,77.213357
"New Collectorate, Baghpat - UPPCB",pm25,24,b'\xc2\xb5g/m\xc2\xb3',IN,Baghpat,2020-08-18 22:45:00,28.974801,77.213357
