location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
"Vidayagiri, Bagalkot - KSPCB",pm25,14.56,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 12:15:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,15.11,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 08:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,14.81,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 07:15:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,14.81,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 06:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,14.86,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 05:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,10.68,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 05:15:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,16.42,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 03:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,22.9,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 01:00:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,15.32,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-28 00:00:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,20.84,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-27 22:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,30.21,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-27 21:15:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,30.21,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-27 20:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,25.17,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-27 19:45:00,16.172806,75.659694
"Vidayagiri, Bagalkot - KSPCB",pm25,18.02,b'\xc2\xb5g/m\xc2\xb3',IN,Bagalkot,2020-08-27 19:15:00,16.172806,75.659694
